GEOID,City,State,Race,Units_per_Structure,Population,PopRank,Units,moe,High_Error,Percent,State_Abb,Geography
0137000,Huntsville,Alabama,All,10 to 19,215025,109,7126,975,FALSE,0.07101499825601675,AL,"Huntsville, AL"
0137000,Huntsville,Alabama,All,20+,215025,109,8141,856.0519844028165,FALSE,0.08113010115102895,AL,"Huntsville, AL"
0137000,Huntsville,Alabama,All,Alternatives,215025,109,1679,379.38107491017524,TRUE,0.01673227365588719,AL,"Huntsville, AL"
0145784,Madison,Alabama,All,"1, detached",56967,752,17196,698,FALSE,0.755801687763713,AL,"Madison, AL"
0145784,Madison,Alabama,All,"1, attached",56967,752,1247,448,TRUE,0.05480836849507736,AL,"Madison, AL"
0145784,Madison,Alabama,All,2,56967,752,77,92,TRUE,0.0033843178621659636,AL,"Madison, AL"
0145784,Madison,Alabama,All,3 or 4,56967,752,850,266,TRUE,0.03735935302390998,AL,"Madison, AL"
0145784,Madison,Alabama,All,5 to 9,56967,752,1023,366,TRUE,0.04496308016877637,AL,"Madison, AL"
0145784,Madison,Alabama,All,10 to 19,56967,752,904,236,TRUE,0.039732770745428976,AL,"Madison, AL"
0145784,Madison,Alabama,All,20+,56967,752,1179,338.864279616486,TRUE,0.051819620253164556,AL,"Madison, AL"
0145784,Madison,Alabama,All,Alternatives,56967,752,276,164.63899902513984,TRUE,0.012130801687763712,AL,"Madison, AL"
0150000,Mobile,Alabama,All,"1, detached",186316,144,61077,1047,FALSE,0.6717516112711995,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,"1, attached",186316,144,1222,216,FALSE,0.013440091507006004,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,2,186316,144,1705,251,FALSE,0.018752337168122128,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,3 or 4,186316,144,3306,399,FALSE,0.03636083676117991,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,5 to 9,186316,144,7080,675,FALSE,0.07786894261014936,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,10 to 19,186316,144,8100,857,FALSE,0.08908734959635732,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,20+,186316,144,7158,715.7241088575961,FALSE,0.07872682079144762,AL,"Mobile, AL"
0150000,Mobile,Alabama,All,Alternatives,186316,144,1274,283.8045101826255,TRUE,0.014012010294538175,AL,"Mobile, AL"
0151000,Montgomery,Alabama,All,"1, detached",199819,126,65049,1145,FALSE,0.6939078117832799,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,"1, attached",199819,126,2950,464,FALSE,0.03146901635322104,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,2,199819,126,1416,283,FALSE,0.0151051278495461,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,3 or 4,199819,126,4461,571,FALSE,0.047587553203972566,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,5 to 9,199819,126,8561,772,FALSE,0.09132415220336451,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,10 to 19,199819,126,4347,553,FALSE,0.046371462402526056,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,20+,199819,126,4921,695.6960543225756,FALSE,0.052494586262440926,AL,"Montgomery, AL"
0151000,Montgomery,Alabama,All,Alternatives,199819,126,2038,299.1003176193566,FALSE,0.021740289941648977,AL,"Montgomery, AL"
0177256,Tuscaloosa,Alabama,All,"1, detached",105797,313,25223,983,FALSE,0.49457832506519733,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,"1, attached",105797,313,1207,357,TRUE,0.02366713072805349,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,2,105797,313,1639,311,FALSE,0.03213788505656974,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,3 or 4,105797,313,2652,456,FALSE,0.05200101962783584,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,5 to 9,105797,313,4790,659,FALSE,0.09392341026294633,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,10 to 19,105797,313,6646,764,FALSE,0.13031628071138648,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,20+,105797,313,8337,708.7376101209812,FALSE,0.16347379360379616,AL,"Tuscaloosa, AL"
0177256,Tuscaloosa,Alabama,All,Alternatives,105797,313,505,155.46382215808282,TRUE,0.009902154944214592,AL,"Tuscaloosa, AL"
0203000,Anchorage,Alaska,All,"1, detached",290674,72,57138,1209,FALSE,0.48040155375069366,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,"1, attached",290674,72,15742,927,FALSE,0.13235467218214533,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,2,290674,72,6934,726,FALSE,0.058299281978846124,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,3 or 4,290674,72,12907,998,FALSE,0.10851872404109704,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,5 to 9,290674,72,7463,749,FALSE,0.06274697741680539,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,10 to 19,290674,72,4700,578,FALSE,0.039516386688863106,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,20+,290674,72,9230,775.8724121915923,FALSE,0.07760345726344818,AK,"Anchorage, AK"
0203000,Anchorage,Alaska,All,Alternatives,290674,72,4824,619.7628578738806,FALSE,0.0405589466781012,AK,"Anchorage, AK"
0404720,Avondale,Arizona,All,"1, detached",89214,409,22474,714,FALSE,0.7437535162325843,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,"1, attached",89214,409,489,325,TRUE,0.016182943376245162,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,2,89214,409,464,319,TRUE,0.015355594532878844,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,3 or 4,89214,409,934,258,TRUE,0.0309097527881656,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,5 to 9,89214,409,1116,334,TRUE,0.03693285236787239,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,10 to 19,89214,409,981,273,TRUE,0.03246516861369428,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,20+,89214,409,2454,473.66021576653446,FALSE,0.08121256246483767,AZ,"Avondale, AZ"
0404720,Avondale,Arizona,All,Alternatives,89214,409,1305,285.2402496142506,TRUE,0.04318760962372174,AZ,"Avondale, AZ"
0407940,Buckeye,Arizona,All,"1, detached",95042,364,28939,1050,FALSE,0.9369617302337628,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,"1, attached",95042,364,565,238,TRUE,0.01829307776986337,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,2,95042,364,34,41,TRUE,0.001100822379071424,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,3 or 4,95042,364,110,71,TRUE,0.0035614841675840185,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,5 to 9,95042,364,167,93,TRUE,0.005406980508968465,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,10 to 19,95042,364,242,174,TRUE,0.007835265168684841,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,20+,95042,364,250,120.83045973594572,TRUE,0.008094282199054588,AZ,"Buckeye, AZ"
0407940,Buckeye,Arizona,All,Alternatives,95042,364,579,204.51894777746145,TRUE,0.018746357573010426,AZ,"Buckeye, AZ"
0410530,Casa Grande,Arizona,All,"1, detached",55186,781,15473,597,FALSE,0.6623715753424657,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,"1, attached",55186,781,574,174,TRUE,0.024571917808219178,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,2,55186,781,244,152,TRUE,0.010445205479452055,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,3 or 4,55186,781,402,144,TRUE,0.01720890410958904,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,5 to 9,55186,781,939,264,TRUE,0.04019691780821918,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,10 to 19,55186,781,435,153,TRUE,0.018621575342465755,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,20+,55186,781,1408,498.738408386601,TRUE,0.06027397260273973,AZ,"Casa Grande, AZ"
0410530,Casa Grande,Arizona,All,Alternatives,55186,781,3885,409.89022920777217,FALSE,0.1663099315068493,AZ,"Casa Grande, AZ"
0410670,Casas Adobes,Arizona,All,"1, detached",69917,576,20910,829,FALSE,0.646847738662377,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,"1, attached",69917,576,2406,327,FALSE,0.0744292519952979,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,2,69917,576,317,177,TRUE,0.00980634783146693,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,3 or 4,69917,576,1398,287,TRUE,0.043246921982305266,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,5 to 9,69917,576,1159,275,TRUE,0.03585349254470086,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,10 to 19,69917,576,2009,388,FALSE,0.062148116067561716,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,20+,69917,576,3094,407.4432475817951,FALSE,0.09571242962321351,AZ,"Casas Adobes, AZ"
0410670,Casas Adobes,Arizona,All,Alternatives,69917,576,1033,188.74321179846442,FALSE,0.03195570129307678,AZ,"Casas Adobes, AZ"
0411230,Catalina Foothills,Arizona,All,"1, detached",50573,864,17671,738,FALSE,0.6426986724859065,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,"1, attached",50573,864,3192,323,FALSE,0.1160938352427714,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,2,50573,864,46,39,TRUE,0.0016730314602655027,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,3 or 4,50573,864,780,196,TRUE,0.028368794326241134,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,5 to 9,50573,864,1797,328,FALSE,0.06535733769776322,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,10 to 19,50573,864,1111,267,TRUE,0.04040734679032552,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,20+,50573,864,2754,570.8554983531296,TRUE,0.10016366612111292,AZ,"Catalina Foothills, AZ"
0411230,Catalina Foothills,Arizona,All,Alternatives,50573,864,144,108.81176406988355,TRUE,0.005237315875613748,AZ,"Catalina Foothills, AZ"
0412000,Chandler,Arizona,All,"1, detached",275618,79,74765,1308,FALSE,0.6796694605552627,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,"1, attached",275618,79,5172,593,FALSE,0.04701732695769168,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,2,275618,79,1051,360,TRUE,0.009554371738695661,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,3 or 4,275618,79,4174,531,FALSE,0.0379447646406429,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,5 to 9,275618,79,7032,717,FALSE,0.06392611043435574,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,10 to 19,275618,79,5828,737,FALSE,0.05298085489354739,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,20+,275618,79,9674,936.7331530377261,FALSE,0.08794385556626243,AZ,"Chandler, AZ"
0412000,Chandler,Arizona,All,Alternatives,275618,79,2306,491.97764176840394,TRUE,0.020963255213541573,AZ,"Chandler, AZ"
0423620,Flagstaff,Arizona,All,"1, detached",76177,510,13838,716,FALSE,0.4457113408702934,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,"1, attached",76177,510,2799,413,FALSE,0.09015363803266016,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,2,76177,510,1738,438,TRUE,0.05597964376590331,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,3 or 4,76177,510,1866,379,TRUE,0.06010242535510677,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,5 to 9,76177,510,3251,566,FALSE,0.1047122105195349,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,10 to 19,76177,510,3052,399,FALSE,0.09830257351757013,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,20+,76177,510,3004,443.5538298786293,FALSE,0.09675653042161883,AZ,"Flagstaff, AZ"
0423620,Flagstaff,Arizona,All,Alternatives,76177,510,1499,309.9306374013386,TRUE,0.04828163751731246,AZ,"Flagstaff, AZ"
0427400,Gilbert,Arizona,All,"1, detached",267267,82,78303,1116,FALSE,0.8351340109427161,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,"1, attached",267267,82,3319,668,TRUE,0.035398513241113046,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,2,267267,82,510,231,TRUE,0.005439361781550965,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,3 or 4,267267,82,964,309,TRUE,0.010281460308657118,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,5 to 9,267267,82,2071,340,FALSE,0.022088074999200093,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,10 to 19,267267,82,2717,462,FALSE,0.028977933255831315,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,20+,267267,82,5557,709.8232174281143,FALSE,0.05926771258838963,AZ,"Gilbert, AZ"
0427400,Gilbert,Arizona,All,Alternatives,267267,82,320,142.63590010933433,TRUE,0.003412932882541782,AZ,"Gilbert, AZ"
0427820,Glendale,Arizona,All,"1, detached",248083,92,53483,1203,FALSE,0.589597733461212,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,"1, attached",248083,92,4622,512,FALSE,0.05095302664505959,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,2,248083,92,733,217,TRUE,0.008080607644056399,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,3 or 4,248083,92,4638,676,FALSE,0.05112941098653967,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,5 to 9,248083,92,4545,525,FALSE,0.05010417700168668,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,10 to 19,248083,92,5110,676,FALSE,0.05633274906020218,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,20+,248083,92,11945,983.6284867774011,FALSE,0.13168193493622604,AZ,"Glendale, AZ"
0427820,Glendale,Arizona,All,Alternatives,248083,92,5635,627.6854307692668,FALSE,0.06212036026501747,AZ,"Glendale, AZ"
0428380,Goodyear,Arizona,All,"1, detached",97542,354,31621,818,FALSE,0.8649070021881838,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,"1, attached",97542,354,843,227,TRUE,0.023057986870897156,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,2,97542,354,409,261,TRUE,0.011187089715536105,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,3 or 4,97542,354,415,175,TRUE,0.011351203501094092,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,5 to 9,97542,354,585,242,TRUE,0.01600109409190372,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,10 to 19,97542,354,768,302,TRUE,0.02100656455142232,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,20+,97542,354,1548,345.41134897394437,TRUE,0.04234135667396061,AZ,"Goodyear, AZ"
0428380,Goodyear,Arizona,All,Alternatives,97542,354,371,196.57314160383152,TRUE,0.010147702407002189,AZ,"Goodyear, AZ"
0439370,Lake Havasu City,Arizona,All,"1, detached",57294,747,26778,804,FALSE,0.7795179319981369,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,"1, attached",57294,747,1301,272,TRUE,0.03787261294829995,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,2,57294,747,999,278,TRUE,0.029081276199347927,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,3 or 4,57294,747,1336,298,TRUE,0.03889147647880764,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,5 to 9,57294,747,893,286,TRUE,0.025995575221238937,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,10 to 19,57294,747,685,320,TRUE,0.019940614811364697,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,20+,57294,747,935,292.67387994148027,TRUE,0.02721821145784816,AZ,"Lake Havasu City, AZ"
0439370,Lake Havasu City,Arizona,All,Alternatives,57294,747,1425,390.26657556085945,TRUE,0.041482300884955754,AZ,"Lake Havasu City, AZ"
0444270,Marana,Arizona,All,"1, detached",52542,827,19292,692,FALSE,0.896551724137931,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,"1, attached",52542,827,245,202,TRUE,0.011385816525699415,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,2,52542,827,39,47,TRUE,0.0018124361000092946,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,3 or 4,52542,827,390,200,TRUE,0.018124361000092945,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,5 to 9,52542,827,186,96,TRUE,0.008643926015428943,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,10 to 19,52542,827,459,181,TRUE,0.021330978715494005,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,20+,52542,827,338,153.18289721767243,TRUE,0.015707779533413888,AZ,"Marana, AZ"
0444270,Marana,Arizona,All,Alternatives,52542,827,569,210.05237442123808,TRUE,0.026442977971930477,AZ,"Marana, AZ"
0444410,Maricopa,Arizona,All,"1, detached",59605,708,20466,691,FALSE,0.9649677023904946,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,"1, attached",59605,708,416,142,TRUE,0.019614314677731153,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,2,59605,708,82,106,TRUE,0.0038662831816681596,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,3 or 4,59605,708,0,32,TRUE,0,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,5 to 9,59605,708,15,25,TRUE,7.072469234758829e-4,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,10 to 19,59605,708,6,10,TRUE,2.8289876939035315e-4,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,20+,59605,708,45,76.05918747922567,TRUE,0.0021217407704276488,AZ,"Maricopa, AZ"
0444410,Maricopa,Arizona,All,Alternatives,59605,708,179,103.57605900979242,TRUE,0.008439813286812202,AZ,"Maricopa, AZ"
0446000,Mesa,Arizona,All,"1, detached",503390,37,120857,1799,FALSE,0.5495773251663187,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,"1, attached",503390,37,12762,913,FALSE,0.058033095507687274,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,2,503390,37,2446,426,FALSE,0.011122782605532289,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,3 or 4,503390,37,10897,766,FALSE,0.04955231482113056,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,5 to 9,503390,37,13139,1004,FALSE,0.05974744098695369,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,10 to 19,503390,37,12754,842,FALSE,0.057996716823777106,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,20+,503390,37,17566,1029.8082345757389,FALSE,0.07987849519574006,AZ,"Mesa, AZ"
0446000,Mesa,Arizona,All,Alternatives,503390,37,29488,946.9635684650176,FALSE,0.13409182889286023,AZ,"Mesa, AZ"
0454050,Peoria,Arizona,All,"1, detached",191292,138,56858,1131,FALSE,0.7367316264123561,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,"1, attached",191292,138,3935,548,FALSE,0.050987353581424276,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,2,191292,138,431,156,TRUE,0.005584637711205556,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,3 or 4,191292,138,1391,536,TRUE,0.018023737949621643,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,5 to 9,191292,138,2173,413,FALSE,0.028156421685498083,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,10 to 19,191292,138,1971,403,TRUE,0.02553902767699803,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,20+,191292,138,6061,742.9676978173412,FALSE,0.07853477765108324,AZ,"Peoria, AZ"
0454050,Peoria,Arizona,All,Alternatives,191292,138,4356,585.4400054659743,FALSE,0.056442417331812995,AZ,"Peoria, AZ"
0455000,Phoenix,Arizona,All,"1, detached",1609456,5,378891,3095,FALSE,0.5977490404077853,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,"1, attached",1609456,5,29647,1291,FALSE,0.04677193652256087,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,2,1609456,5,9277,870,FALSE,0.014635654707720753,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,3 or 4,1609456,5,30361,1727,FALSE,0.04789836289545217,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,5 to 9,1609456,5,34806,1247,FALSE,0.05491091923649117,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,10 to 19,1609456,5,39160,1781,FALSE,0.06177991143196558,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,20+,1609456,5,91551,2709.92638276393,FALSE,0.14443341857783148,AZ,"Phoenix, AZ"
0455000,Phoenix,Arizona,All,Alternatives,1609456,5,20170,1131.4813299387665,FALSE,0.03182075622019269,AZ,"Phoenix, AZ"
0458150,Queen Creek,Arizona,All,"1, detached",61788,671,18839,549,FALSE,0.944879125288394,AZ,"Queen Creek, AZ"
0458150,Queen Creek,Arizona,All,"1, attached",61788,671,304,119,TRUE,0.015247266526231318,AZ,"Queen Creek, AZ"
0458150,Queen Creek,Arizona,All,2,61788,671,38,38,TRUE,0.0019059083157789147,AZ,"Queen Creek, AZ"
0458150,Queen Creek,Arizona,All,3 or 4,61788,671,38,48,TRUE,0.0019059083157789147,AZ,"Queen Creek, AZ"
0458150,Queen Creek,Arizona,All,5 to 9,61788,671,136,143,TRUE,0.006821145551208747,AZ,"Queen Creek, AZ"
